name,price,sum(positive_ratings)
"Randal's Monday",14.99,1911
"Blackguards 2",11.49,980
"Age of Conquest IV",0,2458
"Supreme Ruler Ultimate",14.99,2185
Polarity,10.29,3932
"Dig or Die",9.29,2777
"Trainz: A New Era",29.99,2493
"Raiden III Digital Edition",6.99,3400
eden*,14.99,3932
"Magic Duels",0,16599
sZone-Online,0,3205
"Battle of Empires : 1914-1918",5.99,2184
"QP Shooting - Dangerous!!",5.59,2094
"A Good Snowman Is Hard To Build",6.99,4334
"Toast Time",3.99,3304
"planetarian ~the reverie of a little planet~",6.99,2950
"Grim Fandango Remastered",10.99,4129
"Kings of Kung Fu",6.99,2976
"The Original Strife: Veteran Edition",6.99,1974
Republique,7.19,2619
"Airscape - The Fall of Gravity",1.59,2006
"Double Action: Boogaloo",0,9252
"Color Symphony",0,960
"Quantum Rush Champions",6.99,2093
"Cubic Castles",0,2981
"Beyond Gravity",1.59,2361
"Space Hulk: Ascension",22.99,508
Velocibox,4.59,1054
"Guild of Dungeoneering",10.99,1251
AXYOS,3.99,2142
"Doom & Destiny",6.99,3160
"Enforcer: Police Crime Action",14.99,2056
Convoy,9.99,1626
"Choice of the Deathless",3.99,2920
"Squishy the Suicidal Pig",4.79,5996
"Wings of Vi",10.99,2478
"The Flame in the Flood",14.99,3612
StarCrawlers,14.99,1263
"Chaos Reborn",6.99,745
Xeodrifterâ„¢,6.99,3312
"Time Mysteries 3: The Final Enigma",6.99,1862
"Disney Winnie the Pooh",4.79,2740
Chariot,10.99,2064
"Five Nights at Freddy's",3.99,15784
"The Collider",1.99,3260
"Reprisal Universe",4.99,3146
"Life is Strange - Episode 1",0,118634
"AX:EL - Air XenoDawn",0,741
"Trine 3: The Artifacts of Power",15.99,3619
"Moon Hunters",11.39,1458
"Absolute Drift",8.99,1673
"Deadlings: Rotten Edition",2.79,2925
"We Happy Few",44.99,3130
"Car Mechanic Simulator 2015",14.99,16476
Darkstone,3.99,2560
Cosmonautica,6.99,1006
"Coffin Dodgers",8.99,2040
"Season Match",2.79,3366
"Tokyo School Life",10.99,586
Toren,6.99,2121
"Wings! Remastered Edition",12.99,1785
"Melissa K. and the Heart of Gold Collector's Edition",7.99,998
Wickland,0.79,2210
UNLOVED,6.99,1602
"Dandelion - Wishes brought to you -",22.99,479
"Primal Carnage: Extinction",9.99,2898
Supraball,0,1710
"Command: Modern Air / Naval Operations WOTY",60.99,1696
